id,kode_provinsi,nama_provinsi,wilayah_pengadilan_agama,faktor_penyebab,jumlah_perceraian,satuan,tahun
22,32,JAWA BARAT,BOGOR,PERSELISIHAN & PERTENGKARAN TERUS MENERUS,102.0,KASUS,2017
23,32,JAWA BARAT,BOGOR,EKONOMI,92.0,KASUS,2017
24,32,JAWA BARAT,BOGOR,LAIN-LAIN,191.0,KASUS,2017
25,32,JAWA BARAT,CIAMIS,MABUK,1.0,KASUS,2017
26,32,JAWA BARAT,CIAMIS,MENINGGALKAN SALAH SATU,32.0,KASUS,2017
27,32,JAWA BARAT,CIAMIS,KEKERASAN DALAM RUMAH TANGGA,1.0,KASUS,2017
28,32,JAWA BARAT,CIAMIS,PERSELISIHAN & PERTENGKARAN TERUS MENERUS,373.0,KASUS,2017
29,32,JAWA BARAT,CIAMIS,EKONOMI,3619.0,KASUS,2017
30,32,JAWA BARAT,CIAMIS,LAIN-LAIN,232.0,KASUS,2017
31,32,JAWA BARAT,CIANJUR,MENINGGALKAN SALAH SATU,386.0,KASUS,2017
32,32,JAWA BARAT,CIANJUR,PERSELISIHAN & PERTENGKARAN TERUS MENERUS,215.0,KASUS,2017
33,32,JAWA BARAT,CIANJUR,EKONOMI,620.0,KASUS,2017
34,32,JAWA BARAT,CIANJUR,LAIN-LAIN,47.0,KASUS,2017
35,32,JAWA BARAT,CIBADAK,MADAT,1.0,KASUS,2017
36,32,JAWA BARAT,CIBADAK,MENINGGALKAN SALAH SATU,169.0,KASUS,2017
37,32,JAWA BARAT,CIBADAK,DIHUKUM PENJARA,1.0,KASUS,2017
38,32,JAWA BARAT,CIBADAK,POLIGAMI,1.0,KASUS,2017
39,32,JAWA BARAT,CIBADAK,KEKERASAN DALAM RUMAH TANGGA,3.0,KASUS,2017
40,32,JAWA BARAT,CIBADAK,CACAT BADAN,1.0,KASUS,2017
41,32,JAWA BARAT,CIBADAK,PERSELISIHAN & PERTENGKARAN TERUS MENERUS,566.0,KASUS,2017
42,32,JAWA BARAT,CIBADAK,MURTAD,10.0,KASUS,2017
43,32,JAWA BARAT,CIBADAK,EKONOMI,277.0,KASUS,2017
44,32,JAWA BARAT,CIBINONG,ZINA,5.0,KASUS,2017
45,32,JAWA BARAT,CIBINONG,MABUK,20.0,KASUS,2017
46,32,JAWA BARAT,CIBINONG,MADAT,3.0,KASUS,2017
47,32,JAWA BARAT,CIBINONG,JUDI,8.0,KASUS,2017
48,32,JAWA BARAT,CIBINONG,MENINGGALKAN SALAH SATU,509.0,KASUS,2017
49,32,JAWA BARAT,CIBINONG,KEKERASAN DALAM RUMAH TANGGA,10.0,KASUS,2017
50,32,JAWA BARAT,CIBINONG,PERSELISIHAN & PERTENGKARAN TERUS MENERUS,940.0,KASUS,2017
51,32,JAWA BARAT,CIBINONG,EKONOMI,763.0,KASUS,2017
52,32,JAWA BARAT,CIBINONG,LAIN-LAIN,1583.0,KASUS,2017
53,32,JAWA BARAT,CIKARANG,MENINGGALKAN SALAH SATU,642.0,KASUS,2017
54,32,JAWA BARAT,CIKARANG,DIHUKUM PENJARA,11.0,KASUS,2017
55,32,JAWA BARAT,CIKARANG,KEKERASAN DALAM RUMAH TANGGA,154.0,KASUS,2017
56,32,JAWA BARAT,CIKARANG,PERSELISIHAN & PERTENGKARAN TERUS MENERUS,772.0,KASUS,2017
57,32,JAWA BARAT,CIKARANG,EKONOMI,242.0,KASUS,2017
58,32,JAWA BARAT,CIMAHI,MABUK,30.0,KASUS,2017
59,32,JAWA BARAT,CIMAHI,JUDI,26.0,KASUS,2017
60,32,JAWA BARAT,CIMAHI,MENINGGALKAN SALAH SATU,1563.0,KASUS,2017
61,32,JAWA BARAT,CIMAHI,POLIGAMI,50.0,KASUS,2017
62,32,JAWA BARAT,CIMAHI,KEKERASAN DALAM RUMAH TANGGA,48.0,KASUS,2017
63,32,JAWA BARAT,CIMAHI,PERSELISIHAN & PERTENGKARAN TERUS MENERUS,3969.0,KASUS,2017
64,32,JAWA BARAT,CIMAHI,EKONOMI,3216.0,KASUS,2017
65,32,JAWA BARAT,CIMAHI,LAIN-LAIN,342.0,KASUS,2017
66,32,JAWA BARAT,CIREBON,ZINA,121.0,KASUS,2017
67,32,JAWA BARAT,CIREBON,MABUK,56.0,KASUS,2017
68,32,JAWA BARAT,CIREBON,MADAT,68.0,KASUS,2017
69,32,JAWA BARAT,CIREBON,JUDI,49.0,KASUS,2017
70,32,JAWA BARAT,CIREBON,MENINGGALKAN SALAH SATU,100.0,KASUS,2017
71,32,JAWA BARAT,CIREBON,DIHUKUM PENJARA,2.0,KASUS,2017
72,32,JAWA BARAT,CIREBON,POLIGAMI,32.0,KASUS,2017
73,32,JAWA BARAT,CIREBON,KEKERASAN DALAM RUMAH TANGGA,60.0,KASUS,2017
74,32,JAWA BARAT,CIREBON,CACAT BADAN,2.0,KASUS,2017
75,32,JAWA BARAT,CIREBON,PERSELISIHAN & PERTENGKARAN TERUS MENERUS,147.0,KASUS,2017
76,32,JAWA BARAT,CIREBON,KAWIN PAKSA,2.0,KASUS,2017
77,32,JAWA BARAT,CIREBON,MURTAD,2.0,KASUS,2017
78,32,JAWA BARAT,CIREBON,EKONOMI,91.0,KASUS,2017
79,32,JAWA BARAT,CIREBON,LAIN-LAIN,40.0,KASUS,2017
80,32,JAWA BARAT,DEPOK,ZINA,29.0,KASUS,2017
81,32,JAWA BARAT,DEPOK,MABUK,30.0,KASUS,2017
82,32,JAWA BARAT,DEPOK,MADAT,10.0,KASUS,2017
83,32,JAWA BARAT,DEPOK,JUDI,28.0,KASUS,2017
84,32,JAWA BARAT,DEPOK,MENINGGALKAN SALAH SATU,575.0,KASUS,2017
85,32,JAWA BARAT,DEPOK,DIHUKUM PENJARA,46.0,KASUS,2017
86,32,JAWA BARAT,DEPOK,POLIGAMI,26.0,KASUS,2017
87,32,JAWA BARAT,DEPOK,KEKERASAN DALAM RUMAH TANGGA,196.0,KASUS,2017
88,32,JAWA BARAT,DEPOK,CACAT BADAN,2.0,KASUS,2017
89,32,JAWA BARAT,DEPOK,PERSELISIHAN & PERTENGKARAN TERUS MENERUS,1414.0,KASUS,2017
90,32,JAWA BARAT,DEPOK,MURTAD,16.0,KASUS,2017
91,32,JAWA BARAT,DEPOK,EKONOMI,894.0,KASUS,2017
92,32,JAWA BARAT,GARUT,MENINGGALKAN SALAH SATU,351.0,KASUS,2017
93,32,JAWA BARAT,GARUT,DIHUKUM PENJARA,9.0,KASUS,2017
94,32,JAWA BARAT,GARUT,PERSELISIHAN & PERTENGKARAN TERUS MENERUS,375.0,KASUS,2017
95,32,JAWA BARAT,GARUT,EKONOMI,2040.0,KASUS,2017
96,32,JAWA BARAT,GARUT,LAIN-LAIN,465.0,KASUS,2017
97,32,JAWA BARAT,INDRAMAYU,MENINGGALKAN SALAH SATU,279.0,KASUS,2017
98,32,JAWA BARAT,INDRAMAYU,DIHUKUM PENJARA,1.0,KASUS,2017
99,32,JAWA BARAT,INDRAMAYU,POLIGAMI,103.0,KASUS,2017
100,32,JAWA BARAT,INDRAMAYU,KEKERASAN DALAM RUMAH TANGGA,17.0,KASUS,2017
101,32,JAWA BARAT,INDRAMAYU,CACAT BADAN,2.0,KASUS,2017
102,32,JAWA BARAT,INDRAMAYU,PERSELISIHAN & PERTENGKARAN TERUS MENERUS,527.0,KASUS,2017
103,32,JAWA BARAT,INDRAMAYU,KAWIN PAKSA,34.0,KASUS,2017
104,32,JAWA BARAT,INDRAMAYU,EKONOMI,5302.0,KASUS,2017
105,32,JAWA BARAT,KARAWANG,MENINGGALKAN SALAH SATU,413.0,KASUS,2017
106,32,JAWA BARAT,KARAWANG,PERSELISIHAN & PERTENGKARAN TERUS MENERUS,1077.0,KASUS,2017
107,32,JAWA BARAT,KARAWANG,EKONOMI,635.0,KASUS,2017
108,32,JAWA BARAT,KARAWANG,LAIN-LAIN,443.0,KASUS,2017
109,32,JAWA BARAT,KOTA BANJAR,MENINGGALKAN SALAH SATU,59.0,KASUS,2017
110,32,JAWA BARAT,KOTA BANJAR,POLIGAMI,4.0,KASUS,2017
111,32,JAWA BARAT,KOTA BANJAR,KEKERASAN DALAM RUMAH TANGGA,9.0,KASUS,2017
112,32,JAWA BARAT,KOTA BANJAR,PERSELISIHAN & PERTENGKARAN TERUS MENERUS,267.0,KASUS,2017
113,32,JAWA BARAT,KOTA BANJAR,KAWIN PAKSA,1.0,KASUS,2017
114,32,JAWA BARAT,KOTA BANJAR,MURTAD,36.0,KASUS,2017
115,32,JAWA BARAT,KOTA BANJAR,EKONOMI,295.0,KASUS,2017
116,32,JAWA BARAT,KOTA BANJAR,LAIN-LAIN,27.0,KASUS,2017
117,32,JAWA BARAT,KOTA TASIKMALAYA,MADAT,1.0,KASUS,2017
118,32,JAWA BARAT,KOTA TASIKMALAYA,JUDI,1.0,KASUS,2017
119,32,JAWA BARAT,KOTA TASIKMALAYA,MENINGGALKAN SALAH SATU,58.0,KASUS,2017
120,32,JAWA BARAT,KOTA TASIKMALAYA,DIHUKUM PENJARA,2.0,KASUS,2017
121,32,JAWA BARAT,KOTA TASIKMALAYA,POLIGAMI,15.0,KASUS,2017
122,32,JAWA BARAT,KOTA TASIKMALAYA,KEKERASAN DALAM RUMAH TANGGA,13.0,KASUS,2017
123,32,JAWA BARAT,KOTA TASIKMALAYA,PERSELISIHAN & PERTENGKARAN TERUS MENERUS,592.0,KASUS,2017
124,32,JAWA BARAT,KOTA TASIKMALAYA,KAWIN PAKSA,1.0,KASUS,2017
125,32,JAWA BARAT,KOTA TASIKMALAYA,MURTAD,2.0,KASUS,2017
126,32,JAWA BARAT,KOTA TASIKMALAYA,EKONOMI,1032.0,KASUS,2017
127,32,JAWA BARAT,KUNINGAN,ZINA,33.0,KASUS,2017
128,32,JAWA BARAT,KUNINGAN,MABUK,3.0,KASUS,2017
129,32,JAWA BARAT,KUNINGAN,MENINGGALKAN SALAH SATU,179.0,KASUS,2017
130,32,JAWA BARAT,KUNINGAN,KEKERASAN DALAM RUMAH TANGGA,50.0,KASUS,2017
131,32,JAWA BARAT,KUNINGAN,CACAT BADAN,1.0,KASUS,2017
132,32,JAWA BARAT,KUNINGAN,PERSELISIHAN & PERTENGKARAN TERUS MENERUS,482.0,KASUS,2017
133,32,JAWA BARAT,KUNINGAN,MURTAD,1.0,KASUS,2017
134,32,JAWA BARAT,KUNINGAN,EKONOMI,1719.0,KASUS,2017
135,32,JAWA BARAT,MAJALENGKA,MABUK,5.0,KASUS,2017
136,32,JAWA BARAT,MAJALENGKA,JUDI,4.0,KASUS,2017
137,32,JAWA BARAT,MAJALENGKA,MENINGGALKAN SALAH SATU,295.0,KASUS,2017
138,32,JAWA BARAT,MAJALENGKA,DIHUKUM PENJARA,1.0,KASUS,2017
139,32,JAWA BARAT,MAJALENGKA,POLIGAMI,38.0,KASUS,2017
140,32,JAWA BARAT,MAJALENGKA,KEKERASAN DALAM RUMAH TANGGA,14.0,KASUS,2017
141,32,JAWA BARAT,MAJALENGKA,CACAT BADAN,2.0,KASUS,2017
142,32,JAWA BARAT,MAJALENGKA,PERSELISIHAN & PERTENGKARAN TERUS MENERUS,424.0,KASUS,2017
143,32,JAWA BARAT,MAJALENGKA,EKONOMI,1844.0,KASUS,2017
144,32,JAWA BARAT,MAJALENGKA,LAIN-LAIN,1538.0,KASUS,2017
145,32,JAWA BARAT,PURWAKARTA,MABUK,4.0,KASUS,2017
146,32,JAWA BARAT,PURWAKARTA,MADAT,1.0,KASUS,2017
147,32,JAWA BARAT,PURWAKARTA,JUDI,1.0,KASUS,2017
148,32,JAWA BARAT,PURWAKARTA,MENINGGALKAN SALAH SATU,328.0,KASUS,2017
149,32,JAWA BARAT,PURWAKARTA,DIHUKUM PENJARA,1.0,KASUS,2017
150,32,JAWA BARAT,PURWAKARTA,POLIGAMI,3.0,KASUS,2017
151,32,JAWA BARAT,PURWAKARTA,KEKERASAN DALAM RUMAH TANGGA,34.0,KASUS,2017
152,32,JAWA BARAT,PURWAKARTA,PERSELISIHAN & PERTENGKARAN TERUS MENERUS,477.0,KASUS,2017
153,32,JAWA BARAT,PURWAKARTA,MURTAD,35.0,KASUS,2017
154,32,JAWA BARAT,PURWAKARTA,EKONOMI,407.0,KASUS,2017
155,32,JAWA BARAT,SUBANG,MENINGGALKAN SALAH SATU,511.0,KASUS,2017
156,32,JAWA BARAT,SUBANG,PERSELISIHAN & PERTENGKARAN TERUS MENERUS,696.0,KASUS,2017
157,32,JAWA BARAT,SUBANG,EKONOMI,957.0,KASUS,2017
158,32,JAWA BARAT,SUBANG,LAIN-LAIN,1161.0,KASUS,2017
159,32,JAWA BARAT,SUKABUMI,ZINA,1.0,KASUS,2017
160,32,JAWA BARAT,SUKABUMI,MABUK,3.0,KASUS,2017
161,32,JAWA BARAT,SUKABUMI,MENINGGALKAN SALAH SATU,124.0,KASUS,2017
162,32,JAWA BARAT,SUKABUMI,POLIGAMI,1.0,KASUS,2017
163,32,JAWA BARAT,SUKABUMI,KEKERASAN DALAM RUMAH TANGGA,10.0,KASUS,2017
164,32,JAWA BARAT,SUKABUMI,PERSELISIHAN & PERTENGKARAN TERUS MENERUS,315.0,KASUS,2017
165,32,JAWA BARAT,SUKABUMI,EKONOMI,56.0,KASUS,2017
166,32,JAWA BARAT,SUMBER,MENINGGALKAN SALAH SATU,2288.0,KASUS,2017
167,32,JAWA BARAT,SUMBER,PERSELISIHAN & PERTENGKARAN TERUS MENERUS,1753.0,KASUS,2017
168,32,JAWA BARAT,SUMBER,EKONOMI,2807.0,KASUS,2017
169,32,JAWA BARAT,SUMEDANG,MABUK,52.0,KASUS,2017
170,32,JAWA BARAT,SUMEDANG,JUDI,35.0,KASUS,2017
171,32,JAWA BARAT,SUMEDANG,MENINGGALKAN SALAH SATU,270.0,KASUS,2017
172,32,JAWA BARAT,SUMEDANG,DIHUKUM PENJARA,1.0,KASUS,2017
173,32,JAWA BARAT,SUMEDANG,POLIGAMI,51.0,KASUS,2017
174,32,JAWA BARAT,SUMEDANG,KEKERASAN DALAM RUMAH TANGGA,5.0,KASUS,2017
175,32,JAWA BARAT,SUMEDANG,PERSELISIHAN & PERTENGKARAN TERUS MENERUS,962.0,KASUS,2017
176,32,JAWA BARAT,SUMEDANG,EKONOMI,2407.0,KASUS,2017
177,32,JAWA BARAT,TASIKMALAYA,MENINGGALKAN SALAH SATU,180.0,KASUS,2017
178,32,JAWA BARAT,TASIKMALAYA,KEKERASAN DALAM RUMAH TANGGA,1.0,KASUS,2017
179,32,JAWA BARAT,TASIKMALAYA,CACAT BADAN,2.0,KASUS,2017
180,32,JAWA BARAT,TASIKMALAYA,PERSELISIHAN & PERTENGKARAN TERUS MENERUS,21.0,KASUS,2017
181,32,JAWA BARAT,TASIKMALAYA,EKONOMI,3083.0,KASUS,2017
182,32,JAWA BARAT,TASIKMALAYA,LAIN-LAIN,158.0,KASUS,2017
183,32,JAWA BARAT,BANDUNG,ZINA,0.0,KASUS,2023
184,32,JAWA BARAT,BANDUNG,MABUK,14.0,KASUS,2023
185,32,JAWA BARAT,BANDUNG,MADAT,2.0,KASUS,2023
186,32,JAWA BARAT,BANDUNG,JUDI,16.0,KASUS,2023
187,32,JAWA BARAT,BANDUNG,MENINGGALKAN SALAH SATU,249.0,KASUS,2023
188,32,JAWA BARAT,BANDUNG,DIHUKUM PENJARA,56.0,KASUS,2023
189,32,JAWA BARAT,BANDUNG,POLIGAMI,11.0,KASUS,2023
190,32,JAWA BARAT,BANDUNG,KEKERASAN DALAM RUMAH TANGGA,45.0,KASUS,2023
191,32,JAWA BARAT,BANDUNG,CACAT BADAN,5.0,KASUS,2023
192,32,JAWA BARAT,BANDUNG,PERSELISIHAN & PERTENGKARAN TERUS MENERUS,3069.0,KASUS,2023
193,32,JAWA BARAT,BANDUNG,KAWIN PAKSA,1.0,KASUS,2023
194,32,JAWA BARAT,BANDUNG,MURTAD,18.0,KASUS,2023
195,32,JAWA BARAT,BANDUNG,EKONOMI,1589.0,KASUS,2023
196,32,JAWA BARAT,BEKASI,ZINA,2.0,KASUS,2023
197,32,JAWA BARAT,BEKASI,MABUK,5.0,KASUS,2023
198,32,JAWA BARAT,BEKASI,MADAT,0.0,KASUS,2023
199,32,JAWA BARAT,BEKASI,JUDI,8.0,KASUS,2023
200,32,JAWA BARAT,BEKASI,MENINGGALKAN SALAH SATU,273.0,KASUS,2023
201,32,JAWA BARAT,BEKASI,DIHUKUM PENJARA,6.0,KASUS,2023
202,32,JAWA BARAT,BEKASI,POLIGAMI,3.0,KASUS,2023
203,32,JAWA BARAT,BEKASI,KEKERASAN DALAM RUMAH TANGGA,24.0,KASUS,2023
204,32,JAWA BARAT,BEKASI,CACAT BADAN,0.0,KASUS,2023
205,32,JAWA BARAT,BEKASI,PERSELISIHAN & PERTENGKARAN TERUS MENERUS,2131.0,KASUS,2023
206,32,JAWA BARAT,BEKASI,KAWIN PAKSA,0.0,KASUS,2023
207,32,JAWA BARAT,BEKASI,MURTAD,20.0,KASUS,2023
208,32,JAWA BARAT,BEKASI,EKONOMI,859.0,KASUS,2023
209,32,JAWA BARAT,BOGOR,ZINA,1.0,KASUS,2023
210,32,JAWA BARAT,BOGOR,MABUK,6.0,KASUS,2023
211,32,JAWA BARAT,BOGOR,MADAT,1.0,KASUS,2023
212,32,JAWA BARAT,BOGOR,JUDI,6.0,KASUS,2023
213,32,JAWA BARAT,BOGOR,MENINGGALKAN SALAH SATU,56.0,KASUS,2023
214,32,JAWA BARAT,BOGOR,DIHUKUM PENJARA,3.0,KASUS,2023
215,32,JAWA BARAT,BOGOR,POLIGAMI,8.0,KASUS,2023
216,32,JAWA BARAT,BOGOR,KEKERASAN DALAM RUMAH TANGGA,9.0,KASUS,2023
217,32,JAWA BARAT,BOGOR,CACAT BADAN,0.0,KASUS,2023
218,32,JAWA BARAT,BOGOR,PERSELISIHAN & PERTENGKARAN TERUS MENERUS,900.0,KASUS,2023
219,32,JAWA BARAT,BOGOR,KAWIN PAKSA,2.0,KASUS,2023
220,32,JAWA BARAT,BOGOR,MURTAD,1.0,KASUS,2023
221,32,JAWA BARAT,BOGOR,EKONOMI,289.0,KASUS,2023
222,32,JAWA BARAT,CIAMIS,ZINA,1.0,KASUS,2023
223,32,JAWA BARAT,CIAMIS,MABUK,9.0,KASUS,2023
224,32,JAWA BARAT,CIAMIS,MADAT,1.0,KASUS,2023
225,32,JAWA BARAT,CIAMIS,JUDI,21.0,KASUS,2023
226,32,JAWA BARAT,CIAMIS,MENINGGALKAN SALAH SATU,203.0,KASUS,2023
227,32,JAWA BARAT,CIAMIS,DIHUKUM PENJARA,8.0,KASUS,2023
228,32,JAWA BARAT,CIAMIS,POLIGAMI,8.0,KASUS,2023
229,32,JAWA BARAT,CIAMIS,KEKERASAN DALAM RUMAH TANGGA,18.0,KASUS,2023
230,32,JAWA BARAT,CIAMIS,CACAT BADAN,2.0,KASUS,2023
231,32,JAWA BARAT,CIAMIS,PERSELISIHAN & PERTENGKARAN TERUS MENERUS,728.0,KASUS,2023
232,32,JAWA BARAT,CIAMIS,KAWIN PAKSA,4.0,KASUS,2023
233,32,JAWA BARAT,CIAMIS,MURTAD,2.0,KASUS,2023
234,32,JAWA BARAT,CIAMIS,EKONOMI,3344.0,KASUS,2023
235,32,JAWA BARAT,CIANJUR,ZINA,0.0,KASUS,2023
236,32,JAWA BARAT,CIANJUR,MABUK,1.0,KASUS,2023
237,32,JAWA BARAT,CIANJUR,MADAT,0.0,KASUS,2023
238,32,JAWA BARAT,CIANJUR,JUDI,1.0,KASUS,2023
239,32,JAWA BARAT,CIANJUR,MENINGGALKAN SALAH SATU,21.0,KASUS,2023
240,32,JAWA BARAT,CIANJUR,DIHUKUM PENJARA,6.0,KASUS,2023
241,32,JAWA BARAT,CIANJUR,POLIGAMI,10.0,KASUS,2023
242,32,JAWA BARAT,CIANJUR,KEKERASAN DALAM RUMAH TANGGA,4.0,KASUS,2023
243,32,JAWA BARAT,CIANJUR,CACAT BADAN,0.0,KASUS,2023
244,32,JAWA BARAT,CIANJUR,PERSELISIHAN & PERTENGKARAN TERUS MENERUS,2410.0,KASUS,2023
245,32,JAWA BARAT,CIANJUR,KAWIN PAKSA,0.0,KASUS,2023
246,32,JAWA BARAT,CIANJUR,MURTAD,48.0,KASUS,2023
247,32,JAWA BARAT,CIANJUR,EKONOMI,996.0,KASUS,2023
248,32,JAWA BARAT,CIBADAK,ZINA,2.0,KASUS,2023
249,32,JAWA BARAT,CIBADAK,MABUK,2.0,KASUS,2023
250,32,JAWA BARAT,CIBADAK,MADAT,2.0,KASUS,2023
251,32,JAWA BARAT,CIBADAK,JUDI,1.0,KASUS,2023
252,32,JAWA BARAT,CIBADAK,MENINGGALKAN SALAH SATU,22.0,KASUS,2023
253,32,JAWA BARAT,CIBADAK,DIHUKUM PENJARA,0.0,KASUS,2023
254,32,JAWA BARAT,CIBADAK,POLIGAMI,9.0,KASUS,2023
255,32,JAWA BARAT,CIBADAK,KEKERASAN DALAM RUMAH TANGGA,10.0,KASUS,2023
256,32,JAWA BARAT,CIBADAK,CACAT BADAN,0.0,KASUS,2023
257,32,JAWA BARAT,CIBADAK,PERSELISIHAN & PERTENGKARAN TERUS MENERUS,2519.0,KASUS,2023
258,32,JAWA BARAT,CIBADAK,KAWIN PAKSA,0.0,KASUS,2023
259,32,JAWA BARAT,CIBADAK,MURTAD,8.0,KASUS,2023
260,32,JAWA BARAT,CIBADAK,EKONOMI,37.0,KASUS,2023
261,32,JAWA BARAT,CIBINONG,ZINA,1.0,KASUS,2023
262,32,JAWA BARAT,CIBINONG,MABUK,12.0,KASUS,2023
263,32,JAWA BARAT,CIBINONG,MADAT,2.0,KASUS,2023
264,32,JAWA BARAT,CIBINONG,JUDI,19.0,KASUS,2023
265,32,JAWA BARAT,CIBINONG,MENINGGALKAN SALAH SATU,356.0,KASUS,2023
266,32,JAWA BARAT,CIBINONG,DIHUKUM PENJARA,8.0,KASUS,2023
267,32,JAWA BARAT,CIBINONG,POLIGAMI,6.0,KASUS,2023
268,32,JAWA BARAT,CIBINONG,KEKERASAN DALAM RUMAH TANGGA,36.0,KASUS,2023
269,32,JAWA BARAT,CIBINONG,CACAT BADAN,1.0,KASUS,2023
270,32,JAWA BARAT,CIBINONG,PERSELISIHAN & PERTENGKARAN TERUS MENERUS,3435.0,KASUS,2023
271,32,JAWA BARAT,CIBINONG,KAWIN PAKSA,1.0,KASUS,2023
272,32,JAWA BARAT,CIBINONG,MURTAD,22.0,KASUS,2023
273,32,JAWA BARAT,CIBINONG,EKONOMI,1995.0,KASUS,2023
274,32,JAWA BARAT,CIKARANG,ZINA,0.0,KASUS,2023
275,32,JAWA BARAT,CIKARANG,MABUK,0.0,KASUS,2023
276,32,JAWA BARAT,CIKARANG,MADAT,2.0,KASUS,2023
277,32,JAWA BARAT,CIKARANG,JUDI,1.0,KASUS,2023
278,32,JAWA BARAT,CIKARANG,MENINGGALKAN SALAH SATU,5.0,KASUS,2023
279,32,JAWA BARAT,CIKARANG,DIHUKUM PENJARA,0.0,KASUS,2023
280,32,JAWA BARAT,CIKARANG,POLIGAMI,6.0,KASUS,2023
281,32,JAWA BARAT,CIKARANG,KEKERASAN DALAM RUMAH TANGGA,0.0,KASUS,2023
282,32,JAWA BARAT,CIKARANG,CACAT BADAN,0.0,KASUS,2023
283,32,JAWA BARAT,CIKARANG,PERSELISIHAN & PERTENGKARAN TERUS MENERUS,2864.0,KASUS,2023
284,32,JAWA BARAT,CIKARANG,KAWIN PAKSA,0.0,KASUS,2023
285,32,JAWA BARAT,CIKARANG,MURTAD,26.0,KASUS,2023
286,32,JAWA BARAT,CIKARANG,EKONOMI,13.0,KASUS,2023
287,32,JAWA BARAT,CIMAHI,ZINA,5.0,KASUS,2023
288,32,JAWA BARAT,CIMAHI,MABUK,3.0,KASUS,2023
289,32,JAWA BARAT,CIMAHI,MADAT,1.0,KASUS,2023
290,32,JAWA BARAT,CIMAHI,JUDI,1.0,KASUS,2023
291,32,JAWA BARAT,CIMAHI,MENINGGALKAN SALAH SATU,35.0,KASUS,2023
292,32,JAWA BARAT,CIMAHI,DIHUKUM PENJARA,2.0,KASUS,2023
293,32,JAWA BARAT,CIMAHI,POLIGAMI,3.0,KASUS,2023
294,32,JAWA BARAT,CIMAHI,KEKERASAN DALAM RUMAH TANGGA,30.0,KASUS,2023
295,32,JAWA BARAT,CIMAHI,CACAT BADAN,0.0,KASUS,2023
296,32,JAWA BARAT,CIMAHI,PERSELISIHAN & PERTENGKARAN TERUS MENERUS,595.0,KASUS,2023
297,32,JAWA BARAT,CIMAHI,KAWIN PAKSA,0.0,KASUS,2023
298,32,JAWA BARAT,CIMAHI,MURTAD,1.0,KASUS,2023
299,32,JAWA BARAT,CIMAHI,EKONOMI,308.0,KASUS,2023
300,32,JAWA BARAT,CIREBON,ZINA,0.0,KASUS,2023
301,32,JAWA BARAT,CIREBON,MABUK,5.0,KASUS,2023
302,32,JAWA BARAT,CIREBON,MADAT,0.0,KASUS,2023
303,32,JAWA BARAT,CIREBON,JUDI,0.0,KASUS,2023
304,32,JAWA BARAT,CIREBON,MENINGGALKAN SALAH SATU,134.0,KASUS,2023
305,32,JAWA BARAT,CIREBON,DIHUKUM PENJARA,5.0,KASUS,2023
306,32,JAWA BARAT,CIREBON,POLIGAMI,0.0,KASUS,2023
307,32,JAWA BARAT,CIREBON,KEKERASAN DALAM RUMAH TANGGA,4.0,KASUS,2023
308,32,JAWA BARAT,CIREBON,CACAT BADAN,2.0,KASUS,2023
309,32,JAWA BARAT,CIREBON,PERSELISIHAN & PERTENGKARAN TERUS MENERUS,412.0,KASUS,2023
310,32,JAWA BARAT,CIREBON,KAWIN PAKSA,0.0,KASUS,2023
